Age,Income,LoanAmount,CreditScore,Default
25,45000,8000,720,0
28,38000,12000,650,1
32,60000,20000,710,0
45,30000,15000,580,1
39,52000,18000,690,0
50,40000,25000,560,1
29,47000,9000,700,0
41,35000,16000,600,1
34,62000,12000,730,0
48,28000,19000,550,1
31,50000,11000,705,0
37,43000,14000,640,1
27,46000,8500,710,0
42,31000,17500,590,1
36,54000,12500,690,0
51,38000,22000,570,1
30,49000,10000,720,0
44,29000,17000,580,1
33,58000,13000,700,0
46,32000,18000,610,1
26,43000,9500,715,0
40,36000,15000,600,1
35,55000,12000,705,0
49,27000,20000,560,1
38,50000,16000,680,0
52,26000,23000,540,1
29,48000,10000,710,0
43,34000,17000,595,1
31,51000,10500,700,0
47,30000,18000,580,1
